Chip Run Filename,D:\RT-PCR\Blood\ChipRun.bml,,,,,,,,,,,,,,,,,,,
Application Version,1.4.2,,,,,,,,,,,,,,,,,,,
Application Build,20070522.1,,,,,,,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Detectors),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Quality,Call
S04-A14,434_2,Unknown,1,434_1,INFB1,Test,B-actin,25.62956658,0.92,Pass,0.045050435,0.086121063,0.9,Pass,14.51932569,0.756666667,Pass,0.291175585,0.756666667,Pass
S04-A15,434_2,Unknown,1,434_1,CCL-24,Test,B-actin,13.31375295,0.8,Pass,0.04242992,-3.016789389,0.8,Pass,2.203512067,0.756666667,Pass,-2.811734868,0.756666667,Pass
S04-A16,434_2,Unknown,1,434_1,IL-6,Test,B-actin,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A17,434_2,Unknown,1,434_1,PBEF,Test,B-actin,14.0170052,0.97,Pass,0.065920425,0.623604195,0.966666667,Pass,2.906764321,0.756666667,Pass,0.828658716,0.756666667,Pass
S04-A18,434_2,Unknown,1,434_1,DDX58/RIG-1,Test,B-actin,17.16554315,0.97,Pass,0.082450283,-0.145820406,0.923333333,Pass,6.055302271,0.756666667,Pass,0.059234115,0.756666667,Pass
S04-A19,434_2,Unknown,1,434_1,OAS3,Test,B-actin,19.4993243,0.89,Pass,0.059583791,-0.587394087,0.89,Pass,8.389083418,0.756666667,Pass,-0.382339566,0.756666667,Pass
S04-A20,434_2,Unknown,1,434_1,LY6E,Test,B-actin,16.11986198,0.78,Pass,0.033133264,-0.664412935,0.78,Pass,5.009621098,0.756666667,Pass,-0.459358414,0.756666667,Pass
S04-A21,434_2,Unknown,1,434_1,APOBEC3B,Test,B-actin,21.28265993,0.93,Pass,0.049384689,-0.829536293,0.93,Pass,10.17241905,0.756666667,Pass,-0.624481772,0.756666667,Pass
S04-A22,434_2,Unknown,1,434_1,IL1A,Test,B-actin,15.51322946,0.62,Fail,0.019695109,-2.128894175,0.62,Fail,4.402988574,0.62,Fail,-1.923839654,0.62,Fail
S04-A23,434_2,Unknown,1,434_1,IL1B,Test,B-actin,10.01402049,0.98,Pass,0.092491138,-2.248021152,0.98,Pass,-1.096220397,0.756666667,Pass,-2.042966631,0.756666667,Pass
S04-A24,434_2,Unknown,1,434_1,IRF5,Test,B-actin,17.91159461,0.91,Pass,0.068747972,-0.304342604,0.91,Pass,6.801353729,0.756666667,Pass,-0.099288083,0.756666667,Pass
S04-A25,434_2,Unknown,1,434_1,NK4(IL-32),Test,B-actin,13.01798499,0.85,Pass,0.035987112,-0.39159668,0.8,Pass,1.907744109,0.756666667,Pass,-0.186542159,0.756666667,Pass
S04-A26,434_2,Unknown,1,434_1,CCL20,Test,B-actin,14.49287522,0.8,Pass,0.066028727,-3.822454462,0.8,Pass,3.382634333,0.756666667,Pass,-3.617399941,0.756666667,Pass
S04-A27,434_2,Unknown,1,434_1,CCL22,Test,B-actin,14.11794512,0.96,Pass,0.062759131,-1.645046352,0.96,Pass,3.007704232,0.756666667,Pass,-1.439991831,0.756666667,Pass
S04-A28,434_2,Unknown,1,434_1,CCL2,Test,B-actin,13.31316081,0.81,Pass,0.041469833,-1.516906648,0.81,Pass,2.202919923,0.756666667,Pass,-1.311852127,0.756666667,Pass
S04-A29,434_2,Unknown,1,434_1,LPL,Test,B-actin,17.93809396,0.9,Pass,0.081767941,-2.456627992,0.886666667,Pass,6.82785308,0.756666667,Pass,-2.251573471,0.756666667,Pass
S04-A30,434_2,Unknown,1,434_1,OPN(SPP1),Test,B-actin,11.52712642,0.93,Pass,0.08927187,-2.426914299,0.93,Pass,0.416885541,0.756666667,Pass,-2.221859777,0.756666667,Pass
S04-A31,434_2,Unknown,1,434_1,B-actin,Reference,,10.92287869,0.79,Pass,0.031186689,-0.392416717,0.775,Pass,999,0,Fail,999,0,Fail
S04-A32,434_2,Unknown,1,434_1,GAPDH,Test,B-actin,10.76102321,0.74,Pass,0.078078015,-0.173408843,0.74,Pass,-0.349217677,0.74,Pass,0.031645678,0.74,Pass
S04-A33,434_2,Unknown,1,434_1,18S,Test,B-actin,22.67568313,0.92,Pass,0.052145133,0.528402223,0.91,Pass,11.56544224,0.756666667,Pass,0.733456744,0.756666667,Pass
S04-A34,434_2,Unknown,1,434_1,,NRC,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A35,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A36,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A37,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A38,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A39,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A40,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A41,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A42,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A43,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A44,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A45,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A46,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A47,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S04-A48,434_2,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A01,434_14,Unknown,1,434_1,MX1,Test,B-actin,14.99747485,0.97,Pass,0.053812245,-0.334950604,0.893333333,Pass,4.680689861,0.765,Pass,0.663559811,0.765,Pass
S42-A02,434_14,Unknown,1,434_1,IRF7,Test,B-actin,15.39213944,0.86,Pass,0.036827459,0.002997753,0.856666667,Pass,5.075354447,0.765,Pass,1.001508168,0.765,Pass
S42-A03,434_14,Unknown,1,434_1,G1P3,Test,B-actin,15.91320631,0.83,Pass,0.019982874,-0.331285878,0.773333333,Pass,5.596421321,0.765,Pass,0.667224536,0.765,Pass
S42-A04,434_14,Unknown,1,434_1,OASL,Test,B-actin,14.68482433,0.96,Pass,0.065237931,-0.244400336,0.96,Pass,4.36803934,0.765,Pass,0.754110079,0.765,Pass
S42-A05,434_14,Unknown,1,434_1,IFIT4,Test,B-actin,21.21468517,0.29,Fail,0.019915253,1.277502267,0.29,Fail,10.89790018,0.29,Fail,2.276012682,0.29,Fail
S42-A06,434_14,Unknown,1,434_1,INFA5,Test,B-actin,26.4162986,0.98,Pass,0.072222612,-1.33831207,0.953333333,Pass,16.09951361,0.765,Pass,-0.339801655,0.765,Pass
S42-A07,434_14,Unknown,1,434_1,TNF ALPHA,Test,B-actin,16.76896835,0.76,Pass,0.035619194,-0.163395183,0.76,Pass,6.452183355,0.76,Pass,0.835115232,0.76,Pass
S42-A08,434_14,Unknown,1,434_1,PI3,Test,B-actin,15.01731456,0.84,Pass,0.033657989,-0.427789756,0.793333333,Pass,4.70052957,0.765,Pass,0.570720658,0.765,Pass
S42-A09,434_14,Unknown,1,434_1,IL-10,Test,B-actin,20.35127775,0.91,Pass,0.052633033,1.217209444,0.91,Pass,10.03449276,0.765,Pass,2.215719858,0.765,Pass
S42-A10,434_14,Unknown,1,434_1,IFIT1,Test,B-actin,18.18660673,0.95,Pass,0.061441596,-0.107679337,0.946666667,Pass,7.869821743,0.765,Pass,0.890831078,0.765,Pass
S42-A11,434_14,Unknown,1,434_1,G1P2/ISG15,Test,B-actin,18.70554517,0.6,Fail,0.01597179,-0.048534941,0.6,Fail,8.388760181,0.6,Fail,0.949975474,0.6,Fail
S42-A12,434_14,Unknown,1,434_1,IFI44,Test,B-actin,18.42712467,0.92,Pass,0.057802747,-0.285692304,0.906666667,Pass,8.110339676,0.765,Pass,0.71281811,0.765,Pass
S42-A13,434_14,Unknown,1,434_1,PRKR,Test,B-actin,17.24848747,0.85,Pass,0.042447337,-0.017675556,0.85,Pass,6.931702484,0.765,Pass,0.980834859,0.765,Pass
S42-A14,434_14,Unknown,1,434_1,INFB1,Test,B-actin,25.39078357,0.87,Pass,0.045050435,-0.152661943,0.87,Pass,15.07399858,0.765,Pass,0.845848472,0.765,Pass
S42-A15,434_14,Unknown,1,434_1,CCL-24,Test,B-actin,14.79093929,0.83,Pass,0.04242992,-1.539603051,0.83,Pass,4.474154299,0.765,Pass,-0.541092636,0.765,Pass
S42-A16,434_14,Unknown,1,434_1,IL-6,Test,B-actin,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A17,434_14,Unknown,1,434_1,PBEF,Test,B-actin,12.37264133,0.97,Pass,0.065920425,-1.020759678,0.966666667,Pass,2.055856341,0.765,Pass,-0.022249263,0.765,Pass
S42-A18,434_14,Unknown,1,434_1,DDX58/RIG-1,Test,B-actin,17.34350271,0.94,Pass,0.082450283,0.032139148,0.923333333,Pass,7.026717718,0.765,Pass,1.030649562,0.765,Pass
S42-A19,434_14,Unknown,1,434_1,OAS3,Test,B-actin,18.60622483,0.94,Pass,0.059583791,-1.480493561,0.94,Pass,8.289439838,0.765,Pass,-0.481983146,0.765,Pass
S42-A20,434_14,Unknown,1,434_1,LY6E,Test,B-actin,16.62265069,0.86,Pass,0.033133264,-0.161624224,0.803333333,Pass,6.305865703,0.765,Pass,0.836886191,0.765,Pass
S42-A21,434_14,Unknown,1,434_1,APOBEC3B,Test,B-actin,21.71978445,0.95,Pass,0.049384689,-0.392411773,0.943333333,Pass,11.40299946,0.765,Pass,0.606098642,0.765,Pass
S42-A22,434_14,Unknown,1,434_1,IL1A,Test,B-actin,14.47455429,0.67,Pass,0.019695109,-3.167569342,0.67,Pass,4.157769301,0.67,Pass,-2.169058927,0.67,Pass
S42-A23,434_14,Unknown,1,434_1,IL1B,Test,B-actin,8.627327647,0.97,Pass,0.092491138,-3.634713991,0.97,Pass,-1.689457343,0.765,Pass,-2.636203577,0.765,Pass
S42-A24,434_14,Unknown,1,434_1,IRF5,Test,B-actin,18.61597035,0.93,Pass,0.068747972,0.400033135,0.923333333,Pass,8.299185362,0.765,Pass,1.39854355,0.765,Pass
S42-A25,434_14,Unknown,1,434_1,NK4(IL-32),Test,B-actin,12.77905266,0.83,Pass,0.035987112,-0.630529013,0.8,Pass,2.462267669,0.765,Pass,0.367981401,0.765,Pass
S42-A26,434_14,Unknown,1,434_1,CCL20,Test,B-actin,13.83188728,0.76,Pass,0.066028727,-4.483442398,0.76,Pass,3.515102291,0.76,Pass,-3.484931983,0.76,Pass
S42-A27,434_14,Unknown,1,434_1,CCL22,Test,B-actin,15.68246225,0.99,Pass,0.062759131,-0.080529219,0.966666667,Pass,5.365677258,0.765,Pass,0.917981196,0.765,Pass
S42-A28,434_14,Unknown,1,434_1,CCL2,Test,B-actin,12.44178843,0.75,Pass,0.041469833,-2.388279024,0.75,Pass,2.12500344,0.75,Pass,-1.389768609,0.75,Pass
S42-A29,434_14,Unknown,1,434_1,LPL,Test,B-actin,19.51215072,0.9,Pass,0.081767941,-0.882571237,0.886666667,Pass,9.195365729,0.765,Pass,0.115939178,0.765,Pass
S42-A30,434_14,Unknown,1,434_1,OPN(SPP1),Test,B-actin,13.03006483,0.9,Pass,0.08927187,-0.923975893,0.9,Pass,2.71327984,0.765,Pass,0.074534521,0.765,Pass
S42-A31,434_14,Unknown,1,434_1,B-actin,Reference,,10.37605783,0.75,Pass,0.031186689,-0.939237571,0.75,Pass,999,0,Fail,999,0,Fail
S42-A32,434_14,Unknown,1,434_1,GAPDH,Test,B-actin,10.55783252,0.75,Pass,0.078078015,-0.376599529,0.75,Pass,0.241047531,0.75,Pass,0.621910885,0.75,Pass
S42-A33,434_14,Unknown,1,434_1,18S,Test,B-actin,22.34094324,0.94,Pass,0.052145133,0.19366234,0.91,Pass,12.02415825,0.765,Pass,1.192172755,0.765,Pass
S42-A34,434_14,Unknown,1,434_1,,NRC,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A35,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A36,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A37,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A38,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A39,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A40,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A41,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A42,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A43,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A44,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A45,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A46,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A47,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S42-A48,434_14,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A01,434_3,Unknown,1,434_1,MX1,Test,B-actin,10.20575719,0.97,Pass,0.053812245,-5.126668266,0.893333333,Pass,-1.35257211,0.766666667,Pass,-5.369702161,0.766666667,Pass
S09-A02,434_3,Unknown,1,434_1,IRF7,Test,B-actin,11.99206296,0.87,Pass,0.036827459,-3.39707872,0.856666667,Pass,0.433733664,0.766666667,Pass,-3.640112615,0.766666667,Pass
S09-A03,434_3,Unknown,1,434_1,G1P3,Test,B-actin,11.28263751,0.83,Pass,0.019982874,-4.961854682,0.773333333,Pass,-0.275691792,0.766666667,Pass,-5.204888577,0.766666667,Pass
S09-A04,434_3,Unknown,1,434_1,OASL,Test,B-actin,12.47979931,0.95,Pass,0.065237931,-2.44942536,0.95,Pass,0.921470006,0.766666667,Pass,-2.692459255,0.766666667,Pass
S09-A05,434_3,Unknown,1,434_1,IFIT4,Test,B-actin,15.52230085,0.59,Fail,0.019915253,-4.414882053,0.59,Fail,3.963971555,0.59,Fail,-4.657915948,0.59,Fail
S09-A06,434_3,Unknown,1,434_1,INFA5,Test,B-actin,24.78545165,0.97,Pass,0.072222612,-2.969159017,0.953333333,Pass,13.22712235,0.766666667,Pass,-3.212192912,0.766666667,Pass
S09-A07,434_3,Unknown,1,434_1,TNF ALPHA,Test,B-actin,15.29067302,0.79,Pass,0.035619194,-1.641690507,0.79,Pass,3.732343722,0.766666667,Pass,-1.884724402,0.766666667,Pass
S09-A08,434_3,Unknown,1,434_1,PI3,Test,B-actin,15.20441337,0.84,Pass,0.033657989,-0.240690943,0.793333333,Pass,3.646084074,0.766666667,Pass,-0.483724837,0.766666667,Pass
S09-A09,434_3,Unknown,1,434_1,IL-10,Test,B-actin,20.90519886,0.95,Pass,0.052633033,1.771130556,0.926666667,Pass,9.346869561,0.766666667,Pass,1.528096661,0.766666667,Pass
S09-A10,434_3,Unknown,1,434_1,IFIT1,Test,B-actin,12.96575085,0.95,Pass,0.061441596,-5.328535222,0.946666667,Pass,1.407421549,0.766666667,Pass,-5.571569117,0.766666667,Pass
S09-A11,434_3,Unknown,1,434_1,G1P2/ISG15,Test,B-actin,13.36913201,0.66,Pass,0.01597179,-5.384948099,0.66,Pass,1.810802713,0.66,Pass,-5.627981994,0.66,Pass
S09-A12,434_3,Unknown,1,434_1,IFI44,Test,B-actin,13.8071352,0.79,Pass,0.057802747,-4.905681767,0.79,Pass,2.248805905,0.766666667,Pass,-5.148715662,0.766666667,Pass
S09-A13,434_3,Unknown,1,434_1,PRKR,Test,B-actin,13.76542976,0.92,Pass,0.042447337,-3.500733274,0.886666667,Pass,2.207100457,0.766666667,Pass,-3.743767168,0.766666667,Pass
S09-A14,434_3,Unknown,1,434_1,INFB1,Test,B-actin,23.32475615,0.84,Pass,0.045050435,-2.218689359,0.84,Pass,11.76642685,0.766666667,Pass,-2.461723254,0.766666667,Pass
S09-A15,434_3,Unknown,1,434_1,CCL-24,Test,B-actin,15.64578976,0.86,Pass,0.04242992,-0.684752575,0.86,Pass,4.087460466,0.766666667,Pass,-0.92778647,0.766666667,Pass
S09-A16,434_3,Unknown,1,434_1,IL-6,Test,B-actin,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A17,434_3,Unknown,1,434_1,PBEF,Test,B-actin,13.40901972,0.95,Pass,0.065920425,0.01561871,0.95,Pass,1.85069042,0.766666667,Pass,-0.227415184,0.766666667,Pass
S09-A18,434_3,Unknown,1,434_1,DDX58/RIG-1,Test,B-actin,14.38703105,0.97,Pass,0.082450283,-2.924332506,0.923333333,Pass,2.828701755,0.766666667,Pass,-3.167366401,0.766666667,Pass
S09-A19,434_3,Unknown,1,434_1,OAS3,Test,B-actin,15.89839079,0.92,Pass,0.059583791,-4.188327599,0.92,Pass,4.34006149,0.766666667,Pass,-4.431361494,0.766666667,Pass
S09-A20,434_3,Unknown,1,434_1,LY6E,Test,B-actin,12.77940903,0.84,Pass,0.033133264,-4.004865886,0.803333333,Pass,1.221079732,0.766666667,Pass,-4.24789978,0.766666667,Pass
S09-A21,434_3,Unknown,1,434_1,APOBEC3B,Test,B-actin,20.90647318,0.92,Pass,0.049384689,-1.20572304,0.92,Pass,9.348143883,0.766666667,Pass,-1.448756935,0.766666667,Pass
S09-A22,434_3,Unknown,1,434_1,IL1A,Test,B-actin,15.72348797,0.77,Pass,0.019695109,-1.918635659,0.74,Pass,4.165158674,0.766666667,Pass,-2.161669554,0.736666667,Pass
S09-A23,434_3,Unknown,1,434_1,IL1B,Test,B-actin,10.22675996,0.99,Pass,0.092491138,-2.035281677,0.986666667,Pass,-1.331569338,0.766666667,Pass,-2.278315571,0.766666667,Pass
S09-A24,434_3,Unknown,1,434_1,IRF5,Test,B-actin,17.39634096,0.95,Pass,0.068747972,-0.819596261,0.923333333,Pass,5.838011656,0.766666667,Pass,-1.062630156,0.766666667,Pass
S09-A25,434_3,Unknown,1,434_1,NK4(IL-32),Test,B-actin,12.68851963,0.79,Pass,0.035987112,-0.721062045,0.79,Pass,1.130190328,0.766666667,Pass,-0.96409594,0.766666667,Pass
S09-A26,434_3,Unknown,1,434_1,CCL20,Test,B-actin,15.7178633,0.78,Pass,0.066028727,-2.597466383,0.78,Pass,4.159533996,0.766666667,Pass,-2.840500278,0.766666667,Pass
S09-A27,434_3,Unknown,1,434_1,CCL22,Test,B-actin,15.48250029,0.97,Pass,0.062759131,-0.280491181,0.966666667,Pass,3.924170987,0.766666667,Pass,-0.523525075,0.766666667,Pass
S09-A28,434_3,Unknown,1,434_1,CCL2,Test,B-actin,9.204063232,0.81,Pass,0.041469833,-5.626004223,0.81,Pass,-2.354266068,0.766666667,Pass,-5.869038117,0.766666667,Pass
S09-A29,434_3,Unknown,1,434_1,LPL,Test,B-actin,18.06496968,0.96,Pass,0.081767941,-2.329752272,0.886666667,Pass,6.506640384,0.766666667,Pass,-2.572786167,0.766666667,Pass
S09-A30,434_3,Unknown,1,434_1,OPN(SPP1),Test,B-actin,12.08170881,0.94,Pass,0.08927187,-1.872331917,0.94,Pass,0.523379507,0.766666667,Pass,-2.115365812,0.766666667,Pass
S09-A31,434_3,Unknown,1,434_1,B-actin,Reference,,11.38793117,0.8,Pass,0.031186689,0.072635761,0.775,Pass,999,0,Fail,999,0,Fail
S09-A32,434_3,Unknown,1,434_1,GAPDH,Test,B-actin,10.86302635,0.78,Pass,0.078078015,-0.071405697,0.77,Pass,-0.695302947,0.766666667,Pass,-0.314439592,0.766666667,Pass
S09-A33,434_3,Unknown,1,434_1,18S,Test,B-actin,22.02306753,0.92,Pass,0.052145133,-0.124213373,0.91,Pass,10.46473823,0.766666667,Pass,-0.367247268,0.766666667,Pass
S09-A34,434_3,Unknown,1,434_1,,NRC,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A35,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A36,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A37,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A38,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A39,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A40,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A41,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A42,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A43,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A44,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A45,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A46,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A47,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S09-A48,434_3,Unknown,1,434_1,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S41-A01,434_14,Unknown,1,434_1,MX1,Test,B-actin,14.8532985,0.96,Pass,0.053812245,-0.479126958,0.893333333,Pass,4.536513508,0.765,Pass,0.519383457,0.765,Pass
S41-A02,434_14,Unknown,1,434_1,IRF7,Test,B-actin,15.0523877,0.85,Pass,0.036827459,-0.336753986,0.85,Pass,4.735602707,0.765,Pass,0.661756429,0.765,Pass
S41-A03,434_14,Unknown,1,434_1,G1P3,Test,B-actin,15.70018512,0.76,Pass,0.019982874,-0.544307067,0.76,Pass,5.383400132,0.76,Pass,0.454203348,0.76,Pass
S41-A04,434_14,Unknown,1,434_1,OASL,Test,B-actin,14.61310809,0.92,Pass,0.065237931,-0.316116575,0.92,Pass,4.296323101,0.765,Pass,0.68239384,0.765,Pass
S41-A05,434_14,Unknown,1,434_1,IFIT4,Test,B-actin,19.93075463,0.72,Pass,0.019915253,-0.006428279,0.68,Pass,9.613969639,0.72,Pass,0.992082136,0.68,Pass
S41-A06,434_14,Unknown,1,434_1,INFA5,Test,B-actin,25.82860358,0.97,Pass,0.072222612,-1.926007087,0.953333333,Pass,15.51181859,0.765,Pass,-0.927496672,0.765,Pass
S41-A07,434_14,Unknown,1,434_1,TNF ALPHA,Test,B-actin,16.04505758,0.85,Pass,0.035619194,-0.887305946,0.806666667,Pass,5.728272592,0.765,Pass,0.111204469,0.765,Pass
S41-A08,434_14,Unknown,1,434_1,PI3,Test,B-actin,15.04415542,0.84,Pass,0.033657989,-0.400948899,0.793333333,Pass,4.727370428,0.765,Pass,0.597561516,0.765,Pass
S41-A09,434_14,Unknown,1,434_1,IL-10,Test,B-actin,19.96544027,0.9,Pass,0.052633033,0.831371966,0.9,Pass,9.648655281,0.765,Pass,1.829882381,0.765,Pass
S41-A10,434_14,Unknown,1,434_1,IFIT1,Test,B-actin,18.1739825,0.8,Pass,0.061441596,-0.120303574,0.8,Pass,7.857197507,0.765,Pass,0.878206841,0.765,Pass
S41-A11,434_14,Unknown,1,434_1,G1P2/ISG15,Test,B-actin,17.43629678,0.7,Pass,0.01597179,-1.317783335,0.675,Pass,7.119511787,0.7,Pass,-0.31927292,0.675,Pass
S41-A12,434_14,Unknown,1,434_1,IFI44,Test,B-actin,18.22322843,0.91,Pass,0.057802747,-0.489588537,0.906666667,Pass,7.906443444,0.765,Pass,0.508921878,0.765,Pass
S41-A13,434_14,Unknown,1,434_1,PRKR,Test,B-actin,16.55750156,0.91,Pass,0.042447337,-0.708661469,0.886666667,Pass,6.240716572,0.765,Pass,0.289848946,0.765,Pass
S41-A14,434_14,Unknown,1,434_1,INFB1,Test,B-actin,25.61665016,0.89,Pass,0.045050435,0.073204649,0.89,Pass,15.29986517,0.765,Pass,1.071715063,0.765,Pass
S41-A15,434_14,Unknown,1,434_1,CCL-24,Test,B-actin,14.57826324,0.79,Pass,0.04242992,-1.752279099,0.79,Pass,4.261478251,0.765,Pass,-0.753768684,0.765,Pass
S41-A16,434_14,Unknown,1,434_1,IL-6,Test,B-actin,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S41-A17,434_14,Unknown,1,434_1,PBEF,Test,B-actin,12.18531893,0.96,Pass,0.065920425,-1.208082077,0.96,Pass,1.868533942,0.765,Pass,-0.209571662,0.765,Pass
S41-A18,434_14,Unknown,1,434_1,DDX58/RIG-1,Test,B-actin,17.22724809,0.98,Pass,0.082450283,-0.084115468,0.923333333,Pass,6.910463103,0.765,Pass,0.914394947,0.765,Pass
S41-A19,434_14,Unknown,1,434_1,OAS3,Test,B-actin,19.31775901,0.97,Pass,0.059583791,-0.768959375,0.946666667,Pass,9.000974024,0.765,Pass,0.22955104,0.765,Pass
S41-A20,434_14,Unknown,1,434_1,LY6E,Test,B-actin,16.16201564,0.85,Pass,0.033133264,-0.62225928,0.803333333,Pass,5.845230647,0.765,Pass,0.376251135,0.765,Pass
