Chip Run Filename,D:\RT-PCR\Blood\ChipRun.bml,,,,,,,,,,,,,,,,,,,
Application Version,1.4.2,,,,,,,,,,,,,,,,,,,
Application Build,20070522.1,,,,,,,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Detectors),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Quality,Call
S48-A36,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A37,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A38,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A39,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A40,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A41,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A42,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A43,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A44,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A45,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A46,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A47,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A48,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A01,434_1,Reference,1,,MX1,Test,B-actin,15.31667813,0.88,Pass,0.053812245,999,0,Fail,4.00138273,0.775,Pass,999,0,Fail
S03-A02,434_1,Reference,1,,IRF7,Test,B-actin,15.41585767,0.83,Pass,0.036827459,999,0,Fail,4.100562266,0.775,Pass,999,0,Fail
S03-A03,434_1,Reference,1,,G1P3,Test,B-actin,16.26802464,0.78,Pass,0.019982874,999,0,Fail,4.952729234,0.775,Pass,999,0,Fail
S03-A04,434_1,Reference,1,,OASL,Test,B-actin,14.90762919,0.97,Pass,0.065237931,999,0,Fail,3.59233379,0.775,Pass,999,0,Fail
S03-A05,434_1,Reference,1,,IFIT4,Test,B-actin,20.01918126,0.64,Fail,0.019915253,999,0,Fail,8.703885851,0.64,Fail,999,0,Fail
S03-A06,434_1,Reference,1,,INFA5,Test,B-actin,27.44301401,0.95,Pass,0.072222612,999,0,Fail,16.12771861,0.775,Pass,999,0,Fail
